COD_PERIODO,COD_UTP,ESTUDIANTES,ESTRATO,SEXO,TIPO_INSCRIPCION,TIPO_COLEGIO,VAR,FECHA_ACTUALIZACION,FACULTAD
2010-1,36,7,II,Masculino,General,Privado,Matriculado,09/15/2021 00:00:00,Ingeniería
2010-1,37,2,IV,Femenino,,Privado,Matriculado,09/15/2021 00:00:00,Ingeniería
2011-1,12,1,II,Femenino,,Privado,Inscrito,09/14/2021 00:00:00,Ingeniería
2011-1,12,2,I,Femenino,Negritudes,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2011-2,12,4,II,Femenino,General,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2011-2,12,24,II,Masculino,,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2011-2,47,1,IV,Masculino,,,Graduado,09/16/2021 00:00:00,Ingeniería
2011-2,AY,3,III,Masculino,General,Na,Inscrito,09/14/2021 00:00:00,Ingeniería
2012-1,12,1,I,Femenino,Santa Rosa De Cabal,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2012-1,28,2,III,Femenino,Santa Rosa De Cabal,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2021-2,28,1,III,Femenino,General,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2021-2,28,2,II,Masculino,Risaralda,Privado,Inscrito,09/14/2021 00:00:00,Ingeniería
2021-2,AY,6,III,Masculino,General,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2010-1,34,9,IV,Masculino,General,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2010-1,36,3,III,Femenino,,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2010-1,37,4,IV,Masculino,General,Oficial,Primer curso,09/14/2021 00:00:00,Ingeniería
2010-1,AZ,1,II,Masculino,General,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2010-2,28,3,II,Femenino,General,Privado,Matriculado,09/15/2021 00:00:00,Ingeniería
2010-2,37,2,IV,Masculino,General,Privado,Inscrito,09/14/2021 00:00:00,Ingeniería
2011-1,28,1,I,Femenino,Negritudes,Privado,Matriculado,09/15/2021 00:00:00,Ingeniería
2011-1,28,1,IV,Femenino,,Privado,Inscrito,09/14/2021 00:00:00,Ingeniería
2011-1,34,1,III,Masculino,Santa Rosa De Cabal,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2011-1,34,3,II,Masculino,General,Na,Inscrito,09/14/2021 00:00:00,Ingeniería
2011-1,37,1,IV,Masculino,General,Oficial,Cancelado,09/15/2021 00:00:00,Ingeniería
2011-2,36,1,IV,Masculino,,Oficial,Cancelado,09/15/2021 00:00:00,Ingeniería
2012-1,34,1,IV,Femenino,General,Na,Primer curso,09/14/2021 00:00:00,Ingeniería
2012-1,36,1,III,Masculino,General,Privado,Primer curso,09/14/2021 00:00:00,Ingeniería
2012-1,37,14,III,Masculino,General,Oficial,Primer curso,09/14/2021 00:00:00,Ingeniería
2013-1,12,1,II,Femenino,,Oficial,Cancelado,09/15/2021 00:00:00,Ingeniería
2013-1,28,3,IV,Masculino,,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2013-1,34,1,V,Femenino,General,Privado,Inscrito,09/14/2021 00:00:00,Ingeniería
2013-1,36,1,I,Femenino,General,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2013-2,12,1,II,Femenino,,Privado,Inscrito,09/14/2021 00:00:00,Ingeniería
2013-2,36,1,I,Femenino,,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2014-1,12,1,V,Femenino,General,Privado,Graduado,09/16/2021 00:00:00,Ingeniería
2014-1,12,5,I,Masculino,Desplazado,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2014-1,34,1,II,Femenino,,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2012-1,34,1,V,Masculino,General,Privado,Primer curso,09/14/2021 00:00:00,Ingeniería
2012-2,12,1,II,Masculino,Negritudes,Oficial,Cancelado,09/15/2021 00:00:00,Ingeniería
2013-1,34,1,III,Masculino,Belen De Umbria,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2013-2,12,2,III,Masculino,General,Privado,Primer curso,09/14/2021 00:00:00,Ingeniería
2013-2,28,5,III,Masculino,General,Oficial,Primer curso,09/14/2021 00:00:00,Ingeniería
2014-1,28,1,II,Masculino,Quinchia,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2014-1,47,8,IV,Masculino,General,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2012-1,37,11,IV,Femenino,General,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2012-2,12,1,II,Masculino,Santa Rosa De Cabal,Oficial,Primer curso,09/14/2021 00:00:00,Ingeniería
2012-2,12,2,II,Femenino,General,Privado,Primer curso,09/14/2021 00:00:00,Ingeniería
2012-2,28,2,III,Femenino,Belen De Umbria,Oficial,Graduado,09/16/2021 00:00:00,Ingeniería
2012-2,34,21,I,Masculino,General,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2012-2,47,1,V,Masculino,General,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2012-2,AY,5,IV,Masculino,General,Privado,Matriculado,09/15/2021 00:00:00,Ingeniería
2012-2,DV,2,IV,Masculino,General,Na,Inscrito,09/14/2021 00:00:00,Ingeniería
2013-1,12,1,III,Masculino,Santa Rosa De Cabal,Privado,Matriculado,09/15/2021 00:00:00,Ingeniería
2013-1,28,1,III,Masculino,General,Oficial,Graduado,09/16/2021 00:00:00,Ingeniería
2013-2,37,2,II,Femenino,General,Oficial,Cancelado,09/15/2021 00:00:00,Ingeniería
2013-2,DV,3,V,Masculino,General,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2014-1,37,1,III,Femenino,General,Oficial,Graduado,09/16/2021 00:00:00,Ingeniería
2014-2,28,3,II,Masculino,Quinchia,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2012-1,37,1,,Masculino,,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2012-2,12,1,III,Masculino,Negritudes,Oficial,Cancelado,09/15/2021 00:00:00,Ingeniería
2012-2,28,1,II,Femenino,Comunidad Indigena,Oficial,Primer curso,09/14/2021 00:00:00,Ingeniería
2014-1,12,1,I,Femenino,Marsella,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2014-1,28,2,II,Masculino,Apia,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2014-1,37,6,III,Masculino,General,Privado,Primer curso,09/14/2021 00:00:00,Ingeniería
2014-2,12,1,II,Femenino,Quinchia,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2014-2,37,6,I,Masculino,General,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2014-2,12,2,II,Femenino,Mistrato,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2014-2,28,1,III,Femenino,General,Oficial,Primer curso,09/14/2021 00:00:00,Ingeniería
2014-2,37,1,II,Femenino,General,Privado,Matriculado,09/15/2021 00:00:00,Ingeniería
2015-1,28,21,II,Masculino,,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2015-1,37,3,I,Masculino,General,Privado,Matriculado,09/15/2021 00:00:00,Ingeniería
2015-1,37,8,II,Femenino,General,Oficial,Primer curso,09/14/2021 00:00:00,Ingeniería
2015-1,AY,4,II,Masculino,General,Na,Primer curso,09/14/2021 00:00:00,Ingeniería
2015-2,12,1,I,Masculino,Santa Rosa De Cabal,Oficial,Cancelado,09/15/2021 00:00:00,Ingeniería
2016-1,12,3,IV,Masculino,,Oficial,Inscrito,09/14/2021 00:00:00,Ingeniería
2016-1,12,8,III,Masculino,Santa Rosa De Cabal,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2016-2,34,1,II,Masculino,Guatica,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2014-2,28,2,I,Femenino,Comunidad Indigena,Oficial,Matriculado,09/15/2021 00:00:00,Ingeniería
2014-2,36,1,VI,Femenino,General,Privado,Matriculado,09/15/2021 00:00:00,Ingeniería
